No,Kode,Nama perusahaan,Tanggal pencatatan,Jumlah Saham,Papan pencatatan,Sektor
1,BEI: AALI,Astra Agro Lestari Tbk.,9 Desember 1997,1.924.688.333,Utama,Consumer Non-Cyclicals
2,BEI: ABBA,Mahaka Media Tbk.,3 April 2002,3.935.892.857,Pemantauan Khusus,Consumer Cyclicals
3,BEI: ABDA,Asuransi Bina Dana Arta Tbk.,6 Juli 1989,620.806.680,Pemantauan Khusus,Financials
4,BEI: ABMM,ABM Investama Tbk.,6 Desember 2011,2.753.165.000,Utama,Energy
5,BEI: ACES,Aspirasi Hidup Indonesia Tbk.,6 November 2007,17.120.389.700,Utama,Consumer Cyclicals
6,BEI: ACRO,Samcro Hyosung Adilestari Tbk.,11 Januari 2024,3.469.157.288,Pengembangan,Consumer Cyclicals
7,BEI: ACST,Acset Indonusa Tbk.,24 Juni 2013,12.675.160.000,Pengembangan,Infrastructure
8,BEI: ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,22.222.222.200,Pengembangan,Properties & Real Estate
9,BEI: ADES,Akasha Wira International Tbk.,13 Juni 1994,589.896.800,Pengembangan,Consumer Non-Cyclicals
10,BEI: ADHI,Adhi Karya (Persero) Tbk.,18 Maret 2004,8.407.608.979,Utama,Infrastructure
11,BEI: ADMF,Adira Dinamika Multi Finance T,31 Maret 2004,1.000.000.000,Pengembangan,Financials
12,BEI: ADMG,Polychem Indonesia Tbk,20 Oktober 1993,3.889.179.559,Pengembangan,Basic Materials
13,BEI: ADMR,Adaro Minerals Indonesia Tbk.,3 Januari 2022,40.882.331.500,Utama,Energy
14,BEI: ADRO,Alamtri Resources Indonesia Tb,16 Juli 2008,30.758.665.900,Utama,Energy
15,BEI: AEGS,Anugerah Spareparts Sejahtera,11 September 2023,1.006.080.721,Akselerasi,Consumer Cyclicals
16,BEI: AGAR,Asia Sejahtera Mina Tbk.,2 Desember 2019,1.000.000.000,Pengembangan,Consumer Non-Cyclicals
17,BEI: AGII,Samator Indo Gas Tbk.,28 September 2016,3.066.660.000,Pengembangan,Basic Materials
18,BEI: AGRO,Bank Raya Indonesia Tbk.,8 Agustus 2003,24.493.093.216,Utama,Financials
19,BEI: AGRS,Bank IBK Indonesia Tbk.,22 Desember 2014,47.367.057.874,Pengembangan,Financials
20,BEI: AHAP,Asuransi Harta Aman Pratama Tbk.,14 September 1990,4.900.000.000,Pengembangan,Financials
21,BEI: AIMS,Artha Mahiya Investama Tbk.,20 Juli 2001,220.000.000,Pengembangan,Energy
22,BEI: AISA,FKS Food Sejahtera Tbk.,11 Juni 1997,9.311.800.000,Utama,Consumer Non-Cyclicals
23,BEI: AKKU,Anugerah Kagum Karya Utama Tbk,1 November 2004,6.449.463.636,Pemantauan Khusus,Consumer Cyclicals
24,BEI: AKPI,Argha Karya Prima Industry Tbk,18 Desember 1992,612.248.000,Pengembangan,Basic Materials
25,BEI: AKRA,AKR Corporindo Tbk.,3 Oktober 1994,20.073.474.600,Utama,Energy
26,BEI: AKSI,Mineral Sumberdaya Mandiri Tbk,13 Juli 2001,720.000.000,Pengembangan,Transportation & Logistics
27,BEI: ALDO,Alkindo Naratama Tbk.,12 Juli 2011,2.700.713.744,Pengembangan,Basic Materials
28,BEI: ALII,Ancara Logistics Indonesia Tbk,7 Februari 2024,15.825.800.000,Utama,Energy
29,BEI: ALKA,Alakasa Industrindo Tbk,12 Juli 1990,507.665.055,Pengembangan,Basic Materials
30,BEI: ALMI,Alumindo Light Metal Industry,2 Januari 1997,3.816.000.000,Pemantauan Khusus,Basic Materials
31,BEI: ALTO,Tri Banyan Tirta Tbk.,10 Juli 2012,2.191.870.558,Pemantauan Khusus,Consumer Non-Cyclicals
32,BEI: AMAG,Asuransi Multi Artha Guna Tbk.,23 Desember 2005,5.001.552.516,Pengembangan,Financials
